county,2005,2006,2007,2008,2009,2010,2011,2012,2013
371322,6,6,2,3,1,1,,1,1
371323,,1,3,2,1,1,,,2
371324,9,7,8,7,,,3,3,
371325,5,6,,,1,1,1,1,
371326,3,4,6,3,1,,1,1,1
371327,2,3,2,5,2,1,1,1,3
371328,,,2,2,1,2,1,,1
371329,1,2,3,2,2,1,1,1,
371402,1,1,1,,,,,1,
371421,,2,2,,,,2,,1
371422,,2,,1,1,1,,2,1
371423,,3,1,,1,,,,
371424,,1,4,3,3,2,2,,
371425,,,2,,1,,1,,1
371426,,2,1,1,,1,1,,
371427,1,,,,1,,,1,
371428,,1,1,,,,1,,
371481,,2,4,1,,,1,2,1
371482,,3,2,1,,,1,1,
371502,,3,1,,,,1,1,
371521,1,3,,,1,1,,1,2
371522,,6,1,1,,,1,,
371523,,2,,1,,,,,
371524,,,1,,,,,1,
371525,1,2,1,2,,,,,
371526,,3,1,1,,,,,
371581,,1,1,1,,,,1,
371602,,,,,,1,1,1,
371621,,,5,2,1,5,,,1
371622,,1,3,2,3,,1,,
371623,,,4,1,2,1,1,,
371624,,,4,1,,1,,1,2
371626,,,,,1,,,,
371702,2,,1,1,,,2,4,2
371721,2,1,1,1,,2,1,2,3
371722,4,2,2,1,,,,,
371723,1,,,,,1,,,1
371724,3,1,2,,1,2,,1,
371725,,1,,,,2,1,,
371726,,,1,1,,,,1,
371727,,,,,,,2,,1
371728,3,,,,,1,,2,
371799,,,1,,,,,,
379999,,1,,1,,,,,
410102,,,,,,1,,,
410103,,,,,,,,,1
410104,,,,,,1,,,
410105,,1,,,,,,,
410109,,,,,,,,,1
410122,,1,3,1,4,,2,1,
410181,,,,,,,1,,
410182,,2,4,3,1,,,1,
410183,,1,1,1,1,1,1,,2
410184,,,1,1,3,,,,1
410185,,,,2,3,1,1,,
410186,,1,,,,,,,
410189,,,,,,1,,,
410202,,,,,,,,,1
410203,,,,,1,,,1,
410204,1,,1,,,,,,
410221,2,1,,,,1,,3,
410222,,1,,,1,5,,1,3
410223,,2,2,,1,2,1,1,1
410224,1,,2,2,,1,3,2,1
410225,4,1,2,1,1,,,2,1
410302,,,,,,1,,,
410322,,,1,,,1,,,
410323,,,2,1,,1,,,
410324,,,,,,1,,,
410325,,,,3,2,1,2,2,
410326,,,2,,1,,1,,
410327,,,1,,,,,,
410328,,,,2,,,,1,
410329,,,2,2,1,1,1,,
410381,,,,,,,1,,
410402,,,1,2,1,,,,
410403,,,,,,,1,,
410411,,,1,,,,,,
410421,,,1,1,5,2,2,2,1
410422,1,2,5,2,,1,1,2,2
410423,1,,,3,1,1,,1,
410425,,1,,3,3,3,,,
410481,,,,1,,,,,
410482,,2,2,,,1,2,,
410502,,,1,1,,1,,,
410503,,,1,,,2,,,
410506,,,,1,1,,1,,
410522,,,4,1,,1,2,2,2
410523,,,3,1,,1,1,,1
410526,,1,1,,3,,3,2,1
410527,,2,1,2,1,1,,1,2
410581,,,1,1,,1,2,1,
410602,,,,1,,,,,1
410603,,,1,1,,,,,
410621,,,3,1,3,,,,1
410704,,,,,,,1,,
410711,,1,,,,,,,
410724,,,1,,2,,,,
410725,2,3,1,,1,,2,2,
410726,,,,,,,1,,
410727,,1,5,1,2,,,,
410728,,,,,,,,1,
410781,,,4,,1,,2,,2
410782,,,3,,2,1,1,1,1
410804,,,,1,,,,,
410811,,,,,1,1,,,
410822,,,,1,1,,,,
410823,,,,2,2,2,,1,4
410825,,,,,,1,2,1,1
410882,,,,,1,,,,
410883,,,,,1,,1,,
410902,,,1,1,,,,,
410903,,,,1,,,,2,
410922,,1,2,1,1,,1,2,1
410923,,1,1,,1,,1,,
410926,2,,1,,1,2,1,,1
410927,,,1,1,,2,,,
